"","release_date","movie","production_budget","domestic_gross","worldwide_gross","distributor","mpaa_rating","genre"
"1",2007-06-22,"Evan Almighty",175000000,100289690,174131329,"Universal","PG","Comedy"
"2",1995-07-28,"Waterworld",175000000,88246220,264246220,"Universal","PG-13","Action"
"3",2017-05-12,"King Arthur: Legend of the Sword",175000000,39175066,139950708,"Warner Bros","PG-13","Adventure"
"4",2013-12-25,"47 Ronin",175000000,38362475,151716815,"Universal","PG-13","Action"
"5",2018-06-22,"Jurassic World: Fallen Kingdom",170000000,416769345,1304866322,"Universal","PG-13","Action"
"6",2014-08-01,"Guardians of the Galaxy",170000000,333172112,771051335,"Walt Disney","PG-13","Action"
"7",2010-05-07,"Iron Man 2",170000000,312433331,621156389,"Paramount Pictures","PG-13","Action"
"8",2014-04-04,"Captain America: The Winter Soldier",170000000,259746958,714401889,"Walt Disney","PG-13","Action"
"9",2014-07-11,"Dawn of the Planet of the Apes",170000000,208545589,710644566,"20th Century Fox","PG-13","Adventure"
"10",2004-11-10,"The Polar Express",170000000,186493587,310634169,"Warner Bros","G","Adventure"
"11",2012-06-01,"Snow White and the Huntsman",170000000,155136755,401021746,"Universal","PG-13","Adventure"
"12",2003-07-01,"Terminator 3: Rise of the Machines",170000000,150358296,433058296,"Warner Bros","R","Action"
"13",2004-05-07,"Van Helsing",170000000,120150546,300150546,"Universal","PG-13","Action"
"14",2015-05-22,"Tomorrowland",170000000,93436322,207283457,"Walt Disney","PG","Adventure"
"15",2016-05-27,"Alice Through the Looking Glass",170000000,77042381,276934087,"Walt Disney","PG","Adventure"
"16",2010-05-21,"Shrek Forever After",165000000,238736787,756244673,"Paramount Pictures","PG","Adventure"
"17",2016-11-04,"Doctor Strange",165000000,232641920,676486457,"Walt Disney","PG-13","Action"
"18",2014-11-07,"Big Hero 6",165000000,222527828,652127828,"Walt Disney","PG","Adventure"
"19",2010-03-26,"How to Train Your Dragon",165000000,217581232,494870992,"Paramount Pictures","PG","Adventure"
"20",2012-11-02,"Wreck-It Ralph",165000000,189412677,496511521,"Walt Disney","PG","Adventure"
"21",2014-11-05,"Interstellar",165000000,188017894,667752422,"Paramount Pictures","PG-13","Adventure"
"22",2016-06-24,"Independence Day: Resurgence",165000000,103144286,384413934,"20th Century Fox","PG-13","Action"
"23",2011-07-29,"Cowboys and Aliens",163000000,100368560,176038324,"Universal","PG-13","Action"
"24",2007-05-17,"Shrek the Third",160000000,322719944,807330936,"Paramount Pictures","PG","Adventure"
"25",2013-05-24,"Fast and Furious 6",160000000,238679850,789300444,"Universal","PG-13","Action"
"26",2011-06-03,"X-Men: First Class",160000000,146408305,355408305,"20th Century Fox","PG-13","Action"
